label,application_type_abstract,publication_title_claims
B,utility  closure capsule for closing  container  comprising   cap       associated with the container and comprising  frangible mouth        cutter     for opening said frangible mouth        covering     protecting said cap     and said cutter     and comprising  intactness band       first toothed connection means     afforded  the covering     and  the cutter     and that make said cutter     and said covering     rotate integrally  The closure capsule  movable from  initial configuration   operative configuration  wherein the intactness band  removed and the frangible mouth  broken   the initial configuration  the cap  the cutter and the covering contribute  the definition  walls   reservoir     for containing  product   dropped into the container  the operative configuration ,Safety capsule for a container
"F,E,G",utility The disclosure provides  smart water supplying method and  smart water supply  The method includes  detecting  external object  obtain  plurality  detection data  estimating  least one characteristic data  the external object according  the detection data  determining  least one water supplying signal according  the characteristic data  the external object  and providing  real stream according  the water supplying signal ,Smart water supplying method and smart water supply
H,utility  lead frame for use   optical semiconductor device has  die pad portion  which  optical semiconductor element  mounted and  lead portion electrically connectable with the optical semiconductor element   surface   lead frame substrate forming  part    entirety  the die pad portion and the lead portion  laminated with  glossy  plating layer having  gloss          and  noble metal plating layer including   plating layer    uppermost layer  having  gloss       more ,Lead frame  resin equipped lead frame  optical semiconductor device  and method for manufacturing lead frame
H,utility Techniques are disclosed for forming group III  material transistors employing nitride based dopant diffusion barrier layers  The techniques can include growing the dilute nitride based barrier layer   relatively thin layer  III  material  the sub channel   sub fin  region   transistor  near the substrate III  material interface  for example  Such  nitride based barrier layer can  used  trap atoms from the substrate  vacancy sites within the III  material  Therefore  the barrier layer can arrest substrate atoms from diffusing   undesired manner  protecting the sub channel layer from being unintentionally doped due  subsequent processing  the transistor fabrication   addition   forming the barrier layer pseudomorphically  the lattice mismatch  the barrier layer with the sub channel layer  the heterojunction stack becomes insignificant   some embodiments  the group III  alloyed with nitrogen    material may include   concentration  less than            percent ,Group III V material transistors employing nitride based dopant diffusion barrier layer
"H,C",utility  method includes providing  electrically conductive mandrel having  outer surface layer comprising  preformed pattern  The metallic article  electroformed  The metallic article includes  plurality  electroformed elements formed  the preformed pattern  the outer surface layer  the mandrel  The plurality  electroformed elements have  first side adjacent  the outer surface layer  the mandrel and  second side   solder  plated  the second side  the plurality  electroformed elements while  the mandrel  The metallic article  separated from the mandrel  The plurality  electroformed elements are interconnected such that the metallic article forms  unitary  free standing piece   solution  applied  create  blackening  the first side  the plurality  electroformed elements  The solder  the second side  the plurality  electroformed elements  not blackened ,Method for blackening a metallic article
"C,G",utility The invention relates  mutant forms  lysenin  The invention also relates  analyte characterisation using lysenin ,Mutant lysenin pores
"G,H",utility  method  handling multimedia data  which packets   multimedia file from  first computer are received   second computer   case   sub portion  the multimedia file  representative  the multimedia file  was received  the second computer  before the entire file was received  the second computer  that sub portion  handled  the second computer transmitting  the first computer  although the entire file was not received  the second computer  the time  the transmission  the result  Additionally   image processing server  described comprising   network interface adapted  receive packets   communication manager adapted  manage reception  multimedia files through the input interface and  conclude when  sub portion   multimedia file  representative  the multimedia file received  and  image handling unit configured  handle said sub portions ,Multimedia file upload
G,utility  device locating method includes broadcasting   first mobile device  signal comprising  identifier associated with the first mobile device   second mobile device receives and measures the signal broadcast  the first mobile device  produce one  more signal measurements  The second mobile device transmits the identifier associated with the first mobile device and the one  more signal measurements   computing system  The computing system receives the identifier associated with the first mobile device and the one  more signal measurements from the second mobile device  The computing system estimates  location  the first mobile device based  the one  more signal measurements  and the location  transmitted   user associated with the first mobile device   traffic flow determination method  product ordering method and associated systems are also provided ,Device association based locating system and method
G,utility The present disclosure provides  image processing method  device  and computer readable storage medium  relating  the field  image processing technology  the method includes  acquiring  first undersampled image   processed  and reconstructing  according   mapping relationship between  undersampled image and  normally sampled original image  the first undersampled image   corresponding first original image  wherein the mapping relationship  obtained  training  machine learning model with  second undersampled image and  normally sampled second original image corresponding  the second undersampled image  training samples ,Image processing method  device  and computer readable storage medium
H,utility  system includes  server  assign  namespace  Internet  Things  IoT  devices  with the IoT devices being  different locations  and with each IoT device having  universal unique identifier  UUID  associated therewith  The server assigns  least one sub namespace  each IoT device based  its location  and maps the UUID associated with each IoT device  both the namespace and the  least one sub namespace assigned thereto   device cooperates with the server  generate commands for controlling the IoT devices based  the namespaces and the  least one sub namespaces mapped  the respective UUIDs ,System and method for controlling internet of things devices using namespaces
"A,C",utility The invention relates  transduction compounds  buffers and methods for introducing molecules into cells  The invention also relates  methods  treatment  pharmaceutical compositions and other uses  the transduction compounds and buffers  The invention also relates  modified cells obtainable  the transduction compounds  buffers and methods  the invention ,Transduction buffer
G,utility The present disclosure provides  eyepiece and  display device including the eyepiece  The eyepiece includes  lens  The lens has  first surface and  second surface opposite  the first surface  The first surface   corresponding surface   eye side  and the second surface   corresponding surface   display element side   addition  the first surface   Fresnel structure surface  and the second surface   aspheric curved surface  The Fresnel structure surface includes multiple annular sections arranged  sequence  form  serrated surface   effective focal length EFL  the lens satisfies     ,Eyepiece and display device including eyepiece
"A,B",utility  method for making  smokeless tobacco article can include combining thermoplastic polymer particles with tobacco particles  form  mixture  particles  compressing the mixture  particles within  pressing apparatus  form the mixture into  predetermined shape  separating the mixture from the pressing apparatus such that  retains the predetermined shape  and heating the mixture outside  the pressing apparatus   least partially melt  least some  the thermoplastic polymer particles and form  matrix  polymer and tobacco particles ,Smokeless tobacco article
"A,G,B",utility  physical model   least  portion   patient  dentition has model dental surfaces corresponding  real dental surfaces  the patient  dentition  The physical model includes one  more targets  each configured for facilitating placement   orthodontic appliance  the model   desired location  The targets lack mechanical stops that are outwardly protruding from the original model dental surfaces  Also provided are  method  manufacturing  physical model for use  indirect bonding procedures   method for indirect bonding for use   orthodontic procedure   method for providing  indirect bonding transfer tray for use   orthodontic procedure  and  system for providing  physical model for use  indirect bonding orthodontic procedures ,Method  system and model for indirect bonding
"B,F",utility Distributed trailing edge wing flap systems are described   example wing flap system for  aircraft includes  flap and  actuator  The flap  movable between  deployed position and  retracted position relative   fixed trailing edge   wing  the aircraft  The actuator   move the flap relative  the fixed trailing edge  The actuator  hydraulically drivable via first pressurized hydraulic fluid   supplied   hydraulic system  the aircraft  The actuator  also hydraulically drivable via second pressurized hydraulic fluid   supplied   local power unit  The local power unit  selectively connectable   electrical system  the aircraft  The electrical system   power the local power unit  supply the second pressurized hydraulic fluid ,Distributed trailing edge wing flap systems
H,utility  wireless gateway system includes  gateway apparatus having  gateway function and including  antenna that wirelessly communicates with  wireless field device  and  power supply apparatus separated from the gateway apparatus  The power supply apparatus converts  voltage from  external power supply   predetermined internal voltage  supplies the internal voltage  the gateway apparatus  and relays  wired signal  conformance with  first wired communication protocol between  external controller and the gateway apparatus  The gateway apparatus operates using the internal voltage supplied from the power supply apparatus  converts  wireless signal  conformance with  wireless communication protocol received from the wireless field device   wired signal  conformance with the first wired communication protocol  and transmits the converted wired signal  the power supply apparatus ,Wireless gateway system and communication method thereof
"C,A",utility The invention relates  non solvated crystals    and       aminophenyl       methoxyquinoline   oxy    naphthamide and preparation methods thereof  The invention also relates  pharmaceutical compositions containing the crystals  and  use  the crystals  preparation   medicament for the treatment   disease associated with abnormal protein kinase activity  abnormal histone deacetylase activity ,Non solvated crystal  preparation method and application thereof
"H,B",utility  method includes controlling charging  battery pack   electrified vehicle  via  control system  the electrified vehicle  based  climate conditions  traffic conditions  and learned driving habits   driver  the electrified vehicle  The control system  configured  create  smart charging schedule for either adding  not adding  additional charge  the battery pack  anticipation   expected upcoming drive cycle ,Smart charging schedules for battery systems and associated methods for electrified vehicles
G,utility The invention  incorporated into  interactive web data seller widget that enables any ecommerce site  provide access  and from large  remotely stored databases  its web visitors and for those visitors  prospect filter within the databases  for example both via geographic and demographic criteria  Users can find  for example  appropriate geographic and demographic matches  any applicable search criteria  Additionally the invention enables the web visitor  order   deliverable subset  the remotely stored database  detailed list  the required database subset and for the ecommerce site  sell that data subset  the visitor via  web shopping cart and checkout process  And the invention enables the web visitor  preview the selected subset  data from any database prior  placing  order for the same ,System and method for selling customer specific data subsets on a third party website using a web widget
A,utility The first operation portion  configured   pressed  one hand   user holding  grip portion  The first button depression portion  configured  move toward  first button   game controller secured   compartment  thereby pressing the first button  the game controller secured  the compartment   response  the pressing operation  the first operation portion  The second operation portion  configured   pressed  the other hand  the user holding the grip portion  The second button depression portion  configured  move toward  second button  the game controller secured  the compartment  thereby pressing the second button  the game controller secured  the compartment   response  the pressing operation  the second operation portion ,Accessory device
B,utility  method prints and dries  substrate where ink containing water and pigment  printed onto the substrate   inkjet printing process  The substrate has  initial moisture content and absorbs  least water  the ink  causing the moisture content  the substrate  rise  Radiation selectively acting  the water molecules  applied   first drying step and then radiation selectively acting  the pigment  applied   second drying step  such  way that after completion  the two drying steps  the water  the applied ink has essentially completely evaporated and the substrate has essentially reattained its initial moisture content   this manner optimum drying  substrates  which ink has been applied occurs ,Method for printing and drying
H,utility  method performs  planar and cross sectional etching  semiconductor devices made   multiple layers  dissimilar materials  like metals and dielectrics  The method results  the removal  multiple layers with the aim  either exposing  single layer  interest  cross sectioning several layers  perform various applications including but not limited   nanoprobing  circuit edit and failure analysis  The method comprises directing  ion beam toward  defined area  the semiconductor device  the presence   etching agent  thereby removing  least  portion  the mixed metal and dielectric layer and producing  recess with  least one substantially smooth and planar surface  the milled area  The used etching agent comprises oxidizing and reducing elements   ratio optimized such that the quantity  oxidizing elements  one element more than the quantity  reducing elements ,Method of etching one or more of mixed metal and dielectric layers of a semiconductor device
"A,H,G",utility  surgical instrument includes  body assembly   waveguide   transducer  and  coupling assembly   some versions the coupling assembly translates the transducer  couple the transducer  the waveguide  For instance   gear having arcuate troughs may engage pins  the transducer and  waveguide  mate the transducer  waveguide   pawl may selectively engage and prevent rotation  the gear  Alternatively  lever arms may cam the transducer into the waveguide  The lever arms may selectively couple   casing  prevent decoupling  the transducer and waveguide   another configuration   locking tab can  slid and locked into  slot  couple the transducer and waveguide  Further still  levers with self locking pins may engage and couple the transducer  the waveguide   another version   rotatable body portion may engage  tab  the transducer  rotate and couple the transducer  the waveguide ,Cam driven coupling between ultrasonic transducer and waveguide in surgical instrument
A,utility Techniques for steering  target poles formed  implantable electrodes   stimulator device are disclosed  The steering technique modifies the relative amplitude  target poles once they are steered   electrode array boundary  Once  target pole  steered   electrode array boundary  further steering  the direction  that boundary results   gradual decrease  the relative amplitude  that target pole  Eventually  continued steering  that direction will cause that target pole  disappear  Thus   the case   target tripole  continued steering will eventually cause the target tripole   automatically converted into  target bipole   another example  steering  target poles defined linearly  one direction can  split   orthogonal direction  create  target pole configuration that  two dimensional ,Steering of target poles in an electrode array in a pulse generator system
"B,F",utility  auxiliary power system for  motor vehicle includes  power generator that generates electricity  charge one  more auxiliary power system batteries  The motor vehicle includes  engine and drive train that distributes power from the engine  the drive wheels  The drive train can include  transmission   drive shaft and  differential that connects the engine  the drive wheels  The power generator can  connected  the drive train      the transmission  the drive shaft  the differential   draw power  generate electricity  well   apply braking loads  the drive wheels  increase the ability  stop the motor vehicle ,Method and system for auxiliary power generation
G,utility  method for performing adaptive locking range management   associated data storage device and  controller thereof are provided  The method may include  receiving  security command from outside  the data storage device  wherein the security command  related  changing  old locking range into  new locking range  obtaining  start Logical Block Address  LBA  and  length value  the new locking range according  the security command  determining whether the start LBA  the new locking range  less than  end LBA  the old locking range  and determining whether  end LBA  the new locking range  greater than  start LBA  the old locking range  and  response  both determination results being true  performing data trimming  any respective non overlapped portions  the new locking range and the old locking range ,Method for performing adaptive locking range management  associated data storage device and controller thereof
"G,F",utility  backlight module includes  light guiding plate   plurality  reflection spots  and  light source  The reflection spots are disposed   back surface  the light guiding plate  Light emitted  the light source enters the light guiding plate through  light input side surface  the light guiding plate  and  reflected  the reflection spots  emit out  the light guiding plate through  light output surface  the light guiding plate  The back surface includes  central portion and  fringe portion  The fringe portion extends along  edge  the back surface  The distribution density  the reflection spots  the fringe portion gradually decreases   direction from the central portion toward the fringe portion ,Backlight module
"G,H",utility  wearable apparatus for providing information   user  the wearable apparatus may include  least one image sensor configured  capture  plurality  images from  environment  the user  the wearable apparatus   least one communication device  and  least one processing device  The processing device may  programmed  analyze  least one  the plurality  images  detect  object  the environment  the user  the wearable apparatus  determine  measurement   estimated physical distance from the user  the object  and transmit  based  the measurement and using the  least one communication device  information related  the detected object ,Wearable device and methods for transmitting information based on physical distance
B,utility  robot controller and  robot control method  capable  preventing  operator from being sandwiched between  robot and  workpiece  when  conveyor for conveying the workpiece  stopped  The robot controller  configured  output  robot stop command when  conveyor starts the stop operation thereof  The robot stop command includes  least one    first stop command  which  when  movable section  the robot  positioned anterior  the workpiece  the movable section  moved   higher velocity than the conveyor  and then  stopped after traveling  distance longer than  coasting distance  the conveyor  and  second stop command  which  when the movable section  positioned posterior  the workpiece  the movable section  moved   lower velocity than the conveyor  and then  stopped after traveling  distance shorter than the coasting distance ,Controller and control method for collaborative robot
G,utility Nonvolatile memory devices  such  phase change memory  PCM  devices  other resistance based memory devices  are disclosed  well  methods  operating the same  Resistance states  the memory cells may  altered due  write disturbance resulting from write operations  neighboring word lines  Data reliability may  increased  performing check read operations  neighboring memory cells  response   write operation   some examples   number  consecutive write operations performed   memory cell array   portion thereof  monitored  When the number  consecutive write operations reaches  predetermined number  which may   randomly generated number  some examples   corresponding check read operation may  performed   the check read operation indicates certain sections  the memory have been subject   write disturbance  data  such sections may  refreshed  provide adjust resistance states  corresponding memory cells  Monitoring for write disturbance and performing corresponding refresh operations may  performed  the nonvolatile memory semiconductor chip and   external devices  such   controller ,Semiconductor memory device including phase change memory device and method of accessing phase change memory device
"F,B",utility   fastening structure for fastening  member   fastened   target member  use   fastening bolt and  nut  the target member has  nut pocket that communicates with  second fastening hole   least one   distal end   male screw part  the fastening bolt and  proximal end   female screw part  formed with  tapered surface that guides the nut   coaxial position with the fastening bolt  the nut pocket  formed with abutting surfaces that  gradient surfaces which abut  part  the nut  and the nut  formed with surfaces   abutted that abut  the abutting surfaces  and are gradient surfaces substantially parallel  the abutting surfaces ,Fastening structure
G,utility  object configuration graphical user interface including  set  configurable objects   content region   first configurable object  the set  configurable objects having  first set  object properties   first property  the first set  object properties   first configurable controlling property  the first configurable controlling property  correlated with  plurality  sets  object properties whose availability are dynamically controlled  the first configurable controlling property  receiving    input device coupled  the display device   first user input configuring the first configurable controlling property  setting  responsive  receiving the first user input  the first configurable controlling property   first configurable value  the first configurable value  correlated with  particular set from the plurality  sets  object properties  the first configurable object  and updating  responsive  the first user input  the object configuration graphical user interface displayed  the display device  depict the second set  object properties   position that visually associates the second set  object properties with the first configurable object ,Object configuration dynamic graphical user interface
"C,E,B",utility  method for synthesizing calcium silicate based porous particles  CSPPs   described  Control over CSPP morphology and pore size  achieved through  refined solution based synthesis  allowing loading   variety  sealants  These particles  upon external stimuli  release the loaded sealant into the surrounding material  Methods  loading the CSPPs with loading sealant are described  The CSPPs may  used  pure form  mixed with another material  deliver self healing  sealing and multi functional properties   physical structure  The composition  the CSPPs  described  along with methods  use  the CSPPs ,Calcium silicate based porous particles  composition  method of making and use thereof
"H,G",utility The present invention discloses  personal working system with  dynamic structure  including  central control unit  wherein the central control unit includes  external device identification component used for identifying  plurality  external devices and connecting the identified plurality  external devices into  working system   weak   short distance  communication interface for the communication between the central control unit and the external devices   strong   medium distance and long distance  communication interface for the communication between the central control unit and  external node  the weak communication interface includes Bluetooth  and the strong communication interface includes WIFI connection  Internet connection  local area network connection and radio telephone connection  The present invention has the advantages that the external devices will not  outdate and  universal with the external devices  the system  the world ,Personal working system available for dynamic combination and adjustment
"H,G",utility Some embodiments provide  method for assigning different service path identifiers  each   set  different service paths along each  which  same set  service operations are performed   set  packets  The method retrieves  available service path identifier from  identifier storage that stores service path identifiers for multiple service paths  The method generates  set  proposed service path identifiers based  the retrieved available service path identifier and the number  service paths  the set  service paths  The method performs  write operation  the identifier storage based  the set  proposed service path identifiers  and based   determination that the write operation was successful  assigns the set  proposed service path identifiers  the set  service paths  Based  the set  service path identifiers  the method forwards the set  packets along the set  service paths ,Service path identifier allocation in service insertion
G,utility  display device includes   display unit including pixels each including  holding circuit that holds  pixel signal   driver that drives the pixels based  image signals and supply the pixel signal  the holding circuit  each pixel   encoding circuit that encodes the image signals   frame basis  storage that stores data resulting from encoding   determination circuit that determines whether the image signals for consecutive frames are moving image signals  still image signals  and  controller that controls the driver based  the image signals and the result  the determination circuit  The controller brings the driver into  first state for driving the pixels based  the image signals when the result indicates the moving image signals  and into  second state for causing  least part  the driver  stop operating when the result indicates the still image signals ,Display device and image determination device
"A,G",utility The disclosed embodiments are generally directed  optical systems  The optical systems may include  proximal lens that may transmit light toward  eye   user  The optical systems may also include  distal lens that may   combination with the proximal lens  correct for  least  portion   refractive error  the eye  the user  The optical systems may further include  selective transmission interface  The selective transmission interface may couple the proximal lens  the distal lens  transmits light having  selected property  and does not transmit light that does not have the selected property  The optical system can also include  accommodative lens  such   liquid lens  Various other methods  systems  and computer readable media are also disclosed ,Multi element prescription lenses with eye tracking
C,utility The present invention relates   initiator mixture   composition  use thereof   process  preparing polymer polyol  and  polymer polyol obtained  the process  The initiator mixture comprises   first peroxide  formula           wherein   and   are independent  alkyl group   alkanoyl group comprising       carbon atoms  preferably       carbon atoms  and more preferably       carbon atoms  and  second peroxide  formula               wherein   and   are independently  alkyl group comprising       carbon atoms  preferably       carbon atoms  and more preferably       carbon atoms  and     cycloalkylene group comprising       carbon atoms  preferably       carbon atoms  and more preferably       carbon atoms ,Initiator mixture  composition  the use thereof  polyol polymer preparation method  and polyol polymer obtained by the method
"C,G",utility The present invention relates   method capable  detecting  identifying  counting microorganisms  and  system using the same  and provides  method capable  identifying  detecting  counting microorganisms   more rapid  accurate and convenient manner than  conventional method for identifying  detecting  counting microorganisms  According  the present invention   was found that identification  detection  counting  microorganisms can  performed   rapid  accurate and convenient manner  when  fluorescently labeled microorganism sample  centrifuged and attached  the surface   slide  followed  analysis  fluorescent images  Therefore  the method and system  the present invention can  useful  various fields requiring detection  identification and counting  microorganisms ,Method for detecting  identifying  or counting microorganisms  and system using same
G,utility  workflow engine processes  work problem  generate solutions for the work problem comprising  plurality  related optimization problems  The work problem may comprise  second optimization problem that  dependent   first optimization problem  such that  least one solution for the first optimization problem    utilized   initial solution for the second optimization problem  The workflow engine generates and stores  branch object for each optimization problem  each branch object specifying  solver engine assigned for processing the optimization problem and dependency information indicating  dependency relationship between the optimization problem and another optimization problem  The workflow engine processes the work problem based  the branch objects  initiating each solver engine  perform optimization operations  the assigned optimization problem based  the corresponding branch object  generate one  more solutions for the assigned optimization problem ,Branch objects for dependent optimization problems
"H,G",utility  computer implemented method for implementing alert interpretation  enterprise security systems  presented  The computer implemented method includes employing  plurality  sensors  monitor streaming data from  plurality  computing devices  generating alerts based  the monitored streaming data  automatically analyzing the alerts   real time   using  graph based alert interpretation engine employing process star graph models  retrieving  cause  the alerts   aftermath  the alerts  and baselines for the alert interpretation  and integrating the cause  the alerts  the aftermath  the alerts  and the baselines  output  alert interpretation graph   user interface   user device ,Graph model for alert interpretation in enterprise security system
"H,G",utility Embodiments are disclosed for timing recovery used  conjunction with  phase detector embedded   receiver   communication system   example method includes receiving  via  receiver   communication system   input signal  The input signal encodes  plurality  bits   number  amplitude levels  The method further includes using  analog  digital converter  generate  sampled signal based  the input signal  The method further includes using  first interpolation filter  filter the sampled signal  The method further includes using  second interpolation filter  filter the sampled signal  The method further includes using  first non linear device  process  output  the first interpolation filter  The method further includes using  second non linear device  process  output  the second interpolation filter  The method further includes performing  mathematical operation   output  the first non linear device with  output  the second non linear device  generate phase information ,Method and apparatus for a one bit per symbol timing recovery phase detector
G,utility Embodiments  the invention are directed   computer implemented method  memory acceleration  The computer implemented method includes mapping    processor   array  logic blocks  system memory   array  logic blocks stored  level         accelerator chip  wherein each logic block stores  respective look  table for  function  wherein each function row   respective look  table stores  output function value and  combination  inputs  the function  The processor determines that  number  instances  request for the output function value from  logic block  less than  first threshold  The processor evicts the function row   higher level memory ,On chip logic accelerator
"B,G",utility Provided are systems and methods for controlling  search and rescue  SAR  light   rotorcraft  The system includes  processor programmed   for each cartesian input point   sequence defining  cartesian pattern  determine  initial light head orientation   function  the real time rotorcraft state  generate and transmit  pan command and  tilt command   function  the initial light head orientation and the cartesian input point  and identify  delta range   pan tilt zoom  PTZ  camera  configured  continuously slave and have  field  view centered   beam axis  the SAR light  The PTZ camera captures  video stream and transmits   zooms   the field  view  the PTZ camera when the delta range  positive  and zooms out  the field  view  the PTZ camera when the delta range  negative ,Systems and methods for search and rescue light control for a rotorcraft
"B,C",utility  coated cutting tool comprising  substrate and  coating layer formed  the substrate  wherein  the coating layer  laminated  order from the substrate side toward  surface side  the coating layer  and the coating layer comprises  upper layer and  lower layer which satisfy the following conditions that    least one        planes  TiCN particles located closest  the surface  the lower layer and  least one        planes    type    particles located closest  the substrate  the upper layer and immediately above the TiCN particles are substantially parallel  each other  and  least one        planes  the TiCN particles and  least one        planes  the   type    particles are substantially parallel  each other   and   least one        planes  TiCN particles located closest  the surface  the lower layer and  least one        planes    type    particles located closest  the substrate  the upper layer and immediately above the TiCN particles are substantially parallel  each other  and  least one        planes  the TiCN particles and  least one        planes  the   type    particles are substantially parallel  each other  ,Coated cutting tool
H,utility  one embodiment  the invention  the semiconductor laser     comprises  semiconductor layer sequence      The semiconductor layer sequence     contains   type region         type region      and  active zone      lying between the two   laser beam  produced   resonator path      The resonator path      aligned parallel  the active zone        addition  the semiconductor laser     contains  electrical  contact      and  electrical  contact      each  which  located  the associated region           the semiconductor layer sequence     and  configured  input current directly into the associated region           The  contact      extends from the  type region      through the active zone      and into the  type region      and  located  when viewed from above  next  the resonator path     ,Semiconductor laser and method for producing a semiconductor laser
"A,C,G",utility CsChrimson light activated ion channel polypeptides  their encoding polynucleotides  and variants thereof are provided  Methods  introducing and using CsChrimson light activated ion channels and variants thereof for  alter cell activity and function are also provided ,Channelrhodopsin variants and uses thereof
G,utility  automated teller machine comprises  main body   deposit withdrawal unit provided  one side  the main body and configured  separate and stack  medium   customer service unit provided   front side  the main body and configured  receive  medium from  user  and  tray unit configured  transfer  medium between the deposit withdrawal unit and the customer service unit while reciprocating therebetween  The deposit withdrawal unit includes  bill stopper that  rotatably provided  open and close  opening  the deposit withdrawal unit through which the tray unit passes  and  link unit configured  open and close the bill stopper  providing  rotational force  the bill stopper ,Automated teller machine having bill stopper
A,utility  partitioning component for  feeding bottle device  The feeding bottle device comprising  teat component defining  teat volume therein and  container component defining  container volume therein  The teat component being attachable  the container component  means   attachment component  The partitioning component comprises  first passage allowing  passage  fluid from the container volume  the teat volume and  second passage allowing  passage  fluid from the teat volume  the container volume  wherein the second passage  provided  the form   one way passage  The invention further relates   corresponding feeding bottle device and  feeding method  The solutions according  the invention reduce the risk  colic like symptoms for the infant ,Partitioning component for a feeding bottle device and feeding bottle device
A,utility  novel maize variety designated       and seed  plants and plant parts thereof are produced  crossing inbred maize varieties  Methods for producing  maize plant  crossing hybrid maize variety       with another maize plant are disclosed  Methods for producing  maize plant containing  its genetic material one  more traits introgressed into       through backcrossing  genetic transformation  and  the maize seed  plant and plant part produced thereby are described  Maize variety        the seed  the plant produced from the seed  and variants  mutants  and minor modifications  maize variety       are provided  Methods for producing maize varieties derived from maize variety       and methods  using maize variety       are disclosed ,Maize hybrid X  N   
G,utility  computer implemented method for preventing return oriented programming  ROP  attacks includes registering one  more critical regions  wherein  critical region corresponds   address that has been selected   monitored for potential ROP attacks  identifying one  more critical functions  wherein  critical function corresponds   function that has been selected   analyzed   potential ROP threat  instrumenting the one  more critical regions with ROP protection mechanisms  detecting  critical function execution attempt  one  more  the identified critical regions  determining whether values associated with the critical function match corresponding expected values  and  responsive  determining that values associated with the critical function  not match expected values  activating  return oriented programming protection mechanism ,Return oriented programming attack protection
A,utility  autoinjector for dispensing  liquid product includes  housing   product container arranged  the housing  particularly   syringe comprising  displaceable piston   drive member   first spring which acts  the drive member and the piston  dispense the product from the container  signal element releasably axially coupled with the drive member  that the signal element  transported  the dispensing direction  the drive member  displaced  and  second spring  which exerts  spring force  the signal element against the dispensing direction and  tensioned  the signal element  transported  the dispensing direction  When the signal element  released  detached from the axial coupling  the second spring causes the signal element  accelerate opposite the dispensing direction and strike against  signal stop and generate  acoustic and  tactile signal ,Autoinjector with a signaling device
F,utility  indirect troffer  Embodiments  the present invention provide  troffer style fixture that  particularly well suited for use with solid state light sources  such  LEDs  The troffer comprises  light engine unit that  surrounded  its perimeter   reflective pan   back reflector defines  reflective interior surface  the light engine   facilitate thermal dissipation   heat sink  disposed proximate  the back reflector   portion  the heat sink  exposed  the ambient room environment while another portion functions   mount surface for the light sources that faces the back reflector  One  more light sources disposed along the heat sink mount surface emit light into  interior cavity where  can  mixed and  shaped prior  emission   some embodiments  one  more lens plates extend from the heat sink out  the back reflector ,Troffer style fixture
"G,H",utility  one embodiment   device trains  machine learning based malware classifier using  first randomly selected subset  samples from  training dataset  The classifier comprises  random decision forest  The device identifies  using  least  portion  the training dataset  input  the malware classifier   set  misclassified samples from the training dataset that the malware classifier misclassifies  The device retrains the malware classifier using  second randomly selected subset  samples from the training dataset and the identified set  misclassified samples  The device adjusts prediction labels  individual leaves  the random decision forest  the retrained malware classifier based  part  decision changes  the forest that result from assessing the entire training dataset with the classifier  The device sends the malware classifier with the adjusted prediction labels for deployment into  network ,Scalable training of random forests for high precise malware detection
H,utility  semiconductor structure and  method for fabricating the semiconductor structure are provided  The method includes providing  base substrate  The base substrate includes  plurality  non device regions  The method also includes forming  middle fin structure and  edge fin disposed around the middle fin structure  the base substrate between adjacent non device regions   addition  the method includes forming  first barrier layer  sidewalls  the edge fin  Further  the method includes forming  isolation material layer over the base substrate  over  top  the edge fin  over sidewall and top surfaces  the middle fin structure  and over sidewalls  the first barrier layer  The isolation material layer has  material density smaller than the first barrier layer ,Semiconductor structure and fabrication method thereof
H,utility  Nblock layer  deposited onto  semiconductor substrate that includes metal deposits   titanium nitride  TiN  layer  deposited directly onto the Nblock layer   oxide layer  deposited directly onto the TiN layer  and  via hole  formed through the oxide and TiN layer  contact bottom interconnect  The via hole  aligned  one  the metal deposits  the substrate ,Controlling via critical dimension with a titanium nitride hard mask
"G,B",utility  system and method for obtaining topologically optimized structure  additive manufacturing   finite element mesh   standard shape geometry encompassing desired structure   optimized with  design objective and orthotropic properties  material arising out   selected material and selected additive manufacturing process   used for manufacturing   iterative topology optimization  carried out wherein the process includes simulation  loading requirements  design constraints and the boundary condition  The performance evaluation process uses  finite element analysis framework  obtain the factor  safety between two consecutive iterations based  the anisotropic properties  the material  The process will achieve  minimal factor  safety and  best suitable build orientation  the design ,System and method for design of additively manufactured products
